company_brand,sector,stage,amount_usd,what_it_does,year,city
thecollegefever,Brand Marketing,seed,3654.0,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,Bengaluru
happy cow dairy,Agriculture,seed,584710.0,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,Mumbai
myloancare,Credit,series a,950153.0,Leading Online Loans Marketplace in India,2018,Gurugram
payme india,Financial Services,angel,29235.0,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,Noida
eunimart,E-Commerce Platforms,seed,,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,Hyderabad
hasura,Cloud Infrastructure,seed,23388.0,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,Bengaluru
tripshelf,Internet,seed,233884.0,Tripshelf is an online market place for holiday packages.,2018,Kalkaji
hyperdataio,Market Research,angel,730887.0,Hyperdata combines advanced machine learning with human intelligence.,2018,Hyderabad
freightwalla,Information Services,seed,,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,Mumbai
microchip payments,Mobile Payments,seed,,Microchip payments is a mobile-based payment application and point-of-sale device,2018,Bengaluru
bizcrum infotech pvt ltd,B2B,seed,,Building Transactionary B2B Marketplaces,2018,Delhi
emojifi,Internet,seed,,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,Bengaluru
freshboxx,Food Delivery,seed,,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,Hubli
wide mobility mechatronics,Industrial Automation,seed,,Wide Mobility Mechatronics is a Private Company limited by Shares,2018,Bengaluru
pitstop,Automotive,seed,1461775.0,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,Bengaluru
mihuru,Finance,seed,2193.0,Mihuru is an online platform which gives micro loans for air travel .,2018,Mumbai
fyle,Accounting,seed,16080.0,Fyle is an intelligent expense management platform for enterprises.,2018,Bengaluru
appwharf,Artificial Intelligence,seed,,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,New Delhi
antariksh waste ventures pvt ltd,Internet of Things,seed,7309.0,Waste Management for Smart Cities,2018,Chennai
cogoport,Air Transportation,series a,87706.0,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,Mumbai
paisadukan,Financial Services,seed,9502.0,A P2P lending marketplace platform,2018,Mumbai
sleepy owl coffee,Food and Beverage,seed,511621.0,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,New Delhi
bluejack,Autonomous Vehicles,seed,935536.0,Delhi-based online used vehicles marketplace.,2018,Delhi
pregbuddy,Enterprise Software,seed,,PregBuddy is a smart connected care platform for expecting mothers.,2018,Bengaluru
agnext technologies,Agriculture,series a,,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,Mohali
pando,Logistics,seed,29235.0,A startup which digitizes logistics operations for Fortune 500 companies.,2018,Chennai
mintifi,Financial Services,seed,29235.0,Online lending startup based in Mumbai.,2018,Mumbai
carcrew,Automotive,seed,29235.0,India's Online Auto Repair Marketplace,2018,Mumbai
nicheai,Artificial Intelligence,angel,,Early stage Artificial Intelligence (AI) start up.,2018,Hyderabad
chariot tech,Internet of Things,seed,292355.0,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,New Delhi
ideal insurance brokers 121policycom,Insurance,seed,14618.0,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,Kolkata
loanzen,Financial Services,seed,,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,Bengaluru
mojro technologies,Information Technology,seed,9502.0,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,Bengaluru
elemential,Blockchain,seed,14618.0,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,Mumbai
loadshare,Industrial Automation,series a,73089.0,LoadShare is India’s fastest growing logistics company,2018,Bengaluru
yumlane,Food and Beverage,series a,58471.0,Food startup Yumlane operated by QwikPik Technology,2018,Mumbai
kriger campus,Education,seed,438532.0,A Education Start Up.,2018,New Delhi
pipabella,E-Commerce,series a,14618.0,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,Mumbai
kaleidofin,Financial Services,seed,40930.0,A fintech platform.,2018,Chennai
chakr innovation,Renewable Energy,seed,,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,New Delhi
indigolearn,E-Learning,seed,2193.0,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,Hyderabad
coutloot,E-Commerce,seed,14618.0,The Fashion Re-commerce platform.,2018,Mumbai
letstrack,Apps,seed,24850.0,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,New Delhi
pooltoo,Transportation,seed,,Pooltoo offers a premium ride sharing platform.,2018,New Delhi
finzy,Financial Services,seed,19003.0,finzy is the premier peer to peer lending solution in India.,2018,Bengaluru
fitternity,Fitness,seed,29235.0,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,Mumbai
keito,Artificial Intelligence,seed,,Building an Intelligent Digital Assistant.,2018,Pune
tolet for students,Hospitality,seed,73089.0,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,Jodhpur
chai kings,Food and Beverage,seed,292355.0,Chai Kings is a tea retail chain,2018,Chennai
dainik jagran,Media and Entertainment,seed,584710.0,Dainik Jagran is a media and communications group.,2018,Kanpur
playtoome,Broadcasting,seed,292355.0,Playtoome is a live entertainment destination,2018,Bengaluru
ongo framework,B2B,angel,14618.0,ONGO Framework is a B2B IT and digital solution provider.,2018,Hyderabad
notesgen,Edtech,seed,182722.0,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,New Delhi
arogya medtech,Healthcare,seed,219266.0,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,Kolkata
propshop24,E-Commerce,seed,7309.0,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,Mumbai
myupchar,Healthcare,series a,73089.0,To bring health issues to people in their language.,2018,New Delhi
missmalini entertainment,,seed,1520246.0,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,Mumbai
zestmoney,Big Data,series a,195878.0,Zest is India's first completely automated consumer digital lending platform.,2018,Bengaluru
alphaics corporation,Cloud Computing,seed,,Advancing AI compute,2018,Bengaluru
mydentistchoice,Healthcare,seed,7309.0,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,Hyderabad
sattviko,Food Processing,angel,,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,New Delhi
sensibull,Trading Platform,seed,365444.0,Investment Management Platform,2018,Bengaluru
bombay shaving company,Consumer Goods,series a,,Bombay Shaving Company is a Men's grooming startup,2018,New Delhi
medcords,Wellness,seed,385908.0,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,Pune
university living,Education,seed,,University Living is an online global student housing marketplace.,2018,New Delhi
me,Food and Beverage,seed,,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,Bengaluru
enakshi,Fashion,seed,116942.0,Enakshi is an online apparel brand for women.,2018,Ahmedabad
ultraviolette automotive,Automotive,series a,877.0,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,Bengaluru
